+375291234567;Иванов;Иван;Иванович;Ленина;12;1;34
+375291234567;Иванова;Мария;Ивановна;Ленина;12;2;24
+375331234567;Петров;Пётр;Петрович;Мира;5;2;12
+375251234567;Сидорова;Анна;Сергеевна;Советская;8;4;56
+375441234567;Кузнецов;Алексей;Николаевич;Пушкина;21;3;7
+375291112233;Смирнова;Мария;Владимировна;Гагарина;3;3;101
+375332223344;Григорьев;Сергей;Александрович;Октябрьская;15;2;45
+375252334455;Ковалёв;Виктор;Павлович;Молодёжная;7;2;12
+375443445566;Баранов;Александр;Игоревич;Независимости;42;1;78
+375291556677;Мельник;Елена;Сергеевна;Советская;9;6;34
+375332667788;Лавров;Дмитрий;Александрович;Ленина;18;1;56
